TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008040001;0.000358;0.054222;0.0002119999;0.06294;0.02535201;0.06469999;0.005;1.020408;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000812;0.000372;0.08074;0.0002759999;0.08952601;0.03814201;0.079982;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008160001;0.0003820001;0.08074799;0.0002759999;0.089546;0.03814201;0.07999399;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008100001;0.000384;0.08074799;0.0002759999;0.089546;0.03814001;0.07995398;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000802;0.000384;0.08074801;0.0002759999;0.08948401;0.03813601;0.07965998;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000808;0.000374;0.05361599;0.0002219999;0.062334;0.02553;0.06499998;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000812;0.000372;0.053614;0.0002219999;0.062312;0.02553;0.06498998;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008159999;0.000372;0.053614;0.0002219999;0.062284;0.02553;0.04921;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000814;0.000376;0.053606;0.0002219999;0.0623;0.02553001;0.049252;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000818;0.000376;0.053606;0.0002219999;0.062324;0.02552801;0.04919999;0.006;1.016949;2;
